GeneSymbol	Geneid	Chromosome	logFC_RNA	Fold FC	logCPM	PValue	FDR_RNA	K1ControlOE_1	K1ControlOE_2	K1ControlOE_3	Foxk1OE_1	Foxk1OE_2	Foxk1OE_3
Dcn	ENSMUSG00000019929.15	chr10	-2.768675486	0.147	7.707674025	2.75E-306	1.33E-302	196.6719387	150.8912695	175.8084497	28.08126259	24.59666171	24.72880961
Cdh11	ENSMUSG00000031673.6	chr8	-2.761919186	0.147	6.20231913	2.99E-269	1.32E-265	16.05443016	12.98845772	14.13296152	2.4774577	1.827141306	2.119073698
Svep1	ENSMUSG00000028369.15	chr4	-2.755057857	0.148	6.171699218	3.89E-267	1.57E-263	8.340111798	7.010895613	7.986401847	1.292288795	1.031164146	1.164217849
Sned1	ENSMUSG00000047793.13	chr1	-2.548917385	0.171	6.812857208	3.21E-249	1.20E-245	21.25238136	18.33852422	20.97168513	3.604815719	3.428272298	3.397795221
Cxcl12	ENSMUSG00000061353.11	chr6	-2.45550378	0.182	7.510912295	7.07E-245	2.45E-241	40.85019169	34.39541453	37.65087636	7.327965012	6.71032566	6.705923827
Aspn	ENSMUSG00000021388.13	chr13	-2.339604822	0.198	7.384714368	9.79E-223	3.16E-219	129.4569007	108.4076829	118.0447568	25.26467969	21.27360429	24.35096434
Mmp2	ENSMUSG00000031740.8	chr8	-2.293890305	0.204	7.782861889	1.01E-219	3.07E-216	112.3798796	99.41183557	112.8122408	21.71220573	23.43269137	21.55162682
Cd248	ENSMUSG00000056481.6	chr19	-2.416481709	0.187	6.26421052	3.27E-214	9.31E-211	53.79819112	43.5524084	54.06766521	9.265267112	10.46135025	8.840400523
Timp2	ENSMUSG00000017466.9	chr11	-2.194588774	0.218	7.689283635	9.42E-202	2.53E-198	94.32125119	77.82446423	87.94233566	20.07823121	19.04158877	18.13768077
Lum	ENSMUSG00000036446.4	chr10	-2.927188507	0.131	4.840366043	2.85E-198	7.27E-195	27.39191127	20.35813544	25.41882833	3.999519149	2.677804111	3.047833792
Scara3	ENSMUSG00000034463.3	chr14	-3.709639425	0.076	3.941023085	7.93E-196	1.92E-192	9.254513583	7.542024068	8.38660344	0.72332737	0.735066811	0.475848372
Srpx2	ENSMUSG00000031253.15	chrX	-2.887643184	0.135	4.789058724	9.31E-192	2.15E-188	19.01387962	14.73342223	16.26383941	2.492027785	2.090034934	2.235907393
Postn	ENSMUSG00000027750.16	chr3	-2.078318798	0.237	8.096406955	5.95E-186	1.31E-182	55.86807937	46.03074296	50.19728658	12.48409749	11.82709152	11.98251087
Pdgfrl	ENSMUSG00000031595.9	chr8	-2.941781969	0.13	4.604066862	8.38E-186	1.77E-182	14.0888098	12.9227245	14.31623263	1.935457562	1.56931826	1.922794527
Fat4	ENSMUSG00000046743.6	chr3	-3.075360304	0.119	4.406465298	3.89E-185	7.86E-182	2.562674063	1.75834018	2.303024362	0.255778613	0.288712318	0.246640971
Cidea	ENSMUSG00000024526.8	chr18	3.17298929	9.019	4.365607603	5.03E-185	9.75E-182	3.023250879	3.520062606	3.844720207	31.32480059	30.57669538	32.64415574
C1s1	ENSMUSG00000038521.17	chr6	-2.646224968	0.16	5.057995019	7.84E-182	1.46E-178	19.3578001	16.7834349	18.91676768	3.011627735	2.847661511	3.006705919
Ccdc80	ENSMUSG00000022665.14	chr16	-2.016685392	0.247	8.79599444	8.32E-180	1.49E-176	187.1321924	149.6675437	177.9626524	44.54069456	43.1055429	40.53815464
Ltbp1	ENSMUSG00000001870.15	chr17	-2.498320302	0.177	5.362248712	1.69E-179	2.93E-176	7.16857681	5.765412937	7.051047055	1.149517054	1.246674714	1.16702077
Cpe	ENSMUSG00000037852.8	chr8	-2.138095512	0.227	6.636210819	1.91E-178	3.19E-175	66.88907016	56.31568091	62.75190517	14.44750201	13.96790351	14.16345951
Apcdd1	ENSMUSG00000071847.12	chr18	-2.78706502	0.145	4.712925625	1.98E-178	3.20E-175	15.92526294	15.85508084	17.35922668	1.989411501	2.71840785	2.446202512
Hmgcs2	ENSMUSG00000027875.12	chr3	-4.808683929	0.036	3.175800027	4.29E-176	6.70E-173	5.882933777	4.823716941	5.23052231	0.14646734	0.304304254	0.111205471
