GeneSymbol	Accession	logFC_Pr	pvals_Pr	UniquePeptides	controlOE1	controlOE2	controlOE3	controlOE4	Foxk1OE1	Foxk1OE2	Foxk1OE3	Foxk1OE4
Afap1l2	Q5DTU0	-0.155913	0.6687261	2	0.981	1.636	1	0.981	1.34	0.818	0.961	1.008
Afdn	Q9QZQ1	-0.3728369	0.02259037	17	1.054	0.962	0.971	1.022	0.747	0.868	0.776	0.705
Aff4	Q9ESC8	0.1243347	0.6711784	5	0.967	0.916	0.977	1.162	0.966	1.428	1.224	0.766
Afg3l1	Q920A7	0.3595688	0.001582227	17	1.022	0.98	1.034	0.974	1.265	1.318	1.271	1.291
Afg3l2	Q8JZQ2	0.488515	0.000163212	21	1.049	0.945	1.019	0.987	1.448	1.356	1.379	1.429
Afm	O89020	0.2590071	0.1816499	2	0.925	1.133	1.043	0.845	1.196	1.165	1.04	1.321
Aftph	Q80WT5	0.02370637	0.9137472	1	0.923	1.104	0.886	1.131	1.011	0.778	1.243	1.079
Aga	Q64191	-0.4230303	0.02546597	10	0.922	1.095	1.07	0.895	0.746	0.707	0.749	0.768
Agap3	Q8VHH5	-0.09904554	0.2482668	6	0.984	0.965	1.037	1.008	0.881	1.036	0.937	0.875
Agfg1	Q8K2K6	0.0799683	0.6384375	5	0.947	1.044	0.985	1.077	0.981	1.259	1.214	0.83
Agfg2	Q80WC7	-0.3969437	0.1543558	4	1.033	1.11	0.841	1.057	0.707	0.918	0.92	0.524
Aggf1	Q7TN31	-0.1110975	0.3436082	2	0.818	1.107	1.272	1.161	0.889	1.042	0.996	1.108
Agk	Q9ESW4	0.1822707	0.019643	16	1.021	1.033	1.014	0.927	1.144	1.105	1.143	1.141
Ago1	Q8CJG1	-0.1870579	0.3446183	1	1.075	0.887	1.041	1.01	0.847	1.092	0.805	0.781
Ago2	Q8CJG0	-0.08872892	0.3045599	12	0.988	0.961	0.983	1.058	0.929	1.003	0.951	0.869
Ahcy	P50247	0.5296275	0.000234084	16	1.015	1.021	0.967	1.001	1.464	1.404	1.436	1.476
Ahcyl1	Q80SW1	0.01282404	0.6507207	8	1.051	0.991	0.99	1	1.013	1.034	0.991	1.03
Ahcyl2	Q68FL4	-0.7526362	0.002644236	6	1.045	0.953	1.014	1.03	0.596	0.668	0.594	0.541
Ahsa1	Q8BK64	0.1598359	0.004129774	13	1.044	1.015	0.985	0.942	1.156	1.1	1.099	1.098
Ahsa2	Q8N9S3	0.04485424	0.5946686	5	0.972	1.037	1.02	0.961	1.137	0.999	0.952	1.028
Ahsg	P29699	0.3900145	0.280474	1	0.858	1.233	1.06	0.76	1.499	1.044	1.072	1.51
AI597479	Q922M7	-0.1642092	0.1802149	2	1.014	1.154	0.95	0.944	0.841	1.057	1.011	0.716
Aida	Q8C4Q6	-0.8449445	0.001535834	4	0.974	0.969	0.989	1.034	0.508	0.627	0.568	0.505
Aifm1	Q9Z0X1	0.06972582	0.4315325	22	1.034	0.969	0.941	1.095	1.044	1.123	1.064	1.008
Aifm2	Q8BUE4	0.004995734	0.6838516	13	1.039	0.994	0.984	1.019	1.035	0.998	0.973	1.044
Aimp1	P31230	0.3038358	0.03572353	10	1.021	0.986	1.096	0.877	1.309	1.136	1.204	1.264
Aimp2	Q8R010	0.1729524	0.02303832	7	0.996	1.033	0.979	1.012	1.111	1.191	1.167	1.063
Aip	O08915	0.0512805	0.6459121	8	0.988	1.007	1.081	0.876	1.092	0.925	1.001	1.077
Ajuba	Q91XC0	-0.5367634	0.03394618	2	1.159	0.883	0.907	1.113	0.723	0.78	0.652	0.645
Ak1	Q9R0Y5	-0.7408677	0.001367393	5	0.948	0.985	1.063	0.953	0.568	0.636	0.566	0.593
